Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
Wiltmann Hähnchenbrustfilet (in Aspik 100g),Lebensmittel,Wurst,1.99,2025-06-16,2025-06-21,Edeka
Frischkäse Elsass (Doppelrahmstufe 100g),Lebensmittel,Käse,1.59,2025-06-16,2025-06-21,Edeka
Wiltmann Tafelspitz (mit Meerrettich gewürzt 100g),Lebensmittel,Wurst,2.29,2025-06-16,2025-06-21,Edeka
Flusskrebssalat Calvados (100g),Lebensmittel,Feinkost/Salate,2.49,2025-06-16,2025-06-21,Edeka
Viktoriaseebarschfilet (100g),Lebensmittel,Fisch,1.79,2025-06-16,2025-06-21,Edeka
Makrele (geräuchert 100g),Lebensmittel,Fisch,0.99,2025-06-16,2025-06-21,Edeka
Schäfer's Amerikaner Blue Point (Stück),Lebensmittel,Backwaren,1.85,2025-06-16,2025-06-21,Edeka
Iglo Fischstäbchen oder Backfisch-Stäbchen (versch. Sorten 364/450g Packung),Lebensmittel,Tiefkühlkost/Fisch,2.79,2025-06-16,2025-06-21,Edeka
Schäfer's Hausbrot (600g Laib),Lebensmittel,Backwaren,2.45,2025-06-16,2025-06-21,Edeka
Gustavo Gusto Steinofenpizza (versch. Sorten 410/460g Packung),Lebensmittel,Tiefkühlkost/Pizza,3.33,2025-06-16,2025-06-21,Edeka
Kalle oder Karla Klops (Brötchen mit Frikadelle Stück),Lebensmittel,Backwaren/Snacks,2.90,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Blattspinat (tiefgefroren 450g Packung),Lebensmittel,Tiefkühlkost/Gemüse,0.89,2025-06-16,2025-06-21,Edeka
Caprese-Snack (SB-Markt-bäckerei Stück),Lebensmittel,Backwaren/Snacks,1.11,2025-06-16,2025-06-21,Edeka
Dr. Oetker Bistro Baguettes (versch. Sorten 250g Packung),Lebensmittel,Tiefkühlkost/Snacks,1.49,2025-06-16,2025-06-21,Edeka
EDEKA Bio Dinkelkrusti Baguette- Roggen- oder Vollkornbrötchen (400/420/425g Beutel),Lebensmittel,Backwaren,1.49,2025-06-16,2025-06-21,Edeka
Kürbiskernbrot (SB-Markt-bäckerei 750g Laib),Lebensmittel,Backwaren,1.99,2025-06-16,2025-06-21,Edeka
Langnese Magnum (versch. Sorten 6x100ml/8x35ml Packung),Lebensmittel,Tiefkühlkost/Eis,2.79,2025-06-16,2025-06-21,Edeka
Kirsch-Vanille-Plunder (SB-Markt-bäckerei Stück),Lebensmittel,Backwaren,0.99,2025-06-16,2025-06-21,Edeka
Langnese Klassiker oder Kids Multipack (versch. Sorten 420/512ml Packung),Lebensmittel,Tiefkühlkost/Eis,2.22,2025-06-16,2025-06-21,Edeka
Rama Streichfett (100% Natürliche Zutaten 400g Becher),Lebensmittel,Butter/Margarine,1.29,2025-06-16,2025-06-21,Edeka
The Original OATLY Haferdrink oder Aufstrich (versch. Sorten 1l/150g),Lebensmittel,Milchersatzprodukte,1.69,2025-06-16,2025-06-21,Edeka
Danone Dany Pudding (versch. Sorten 120/230g Packung),Lebensmittel,Milchprodukte/Desserts,0.99,2025-06-16,2025-06-21,Edeka
Milram Buttermilch- oder Kefir-Drink (versch. Sorten 500/750g Packung),Lebensmittel,Getränke/Milchprodukte,1.59,2025-06-16,2025-06-21,Edeka
Landliebe Joghurt (versch. Sorten 500g Glas),Lebensmittel,Milchprodukte/Desserts,1.11,2025-06-16,2025-06-21,Edeka
Knack & Back Vielfalt (gekühlter Frischteig versch. Sorten 240/400g Dose),Lebensmittel,Teigwaren,1.69,2025-06-16,2025-06-21,Edeka
Fol Epi Saint Albray oder Rambol (Schnittkäse in Scheiben versch. Sorten 120/130/150g Packung),Lebensmittel,Käse,1.59,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Feta (aus Schaf- und Ziegenmilch 200g Packung),Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Edeka
Milram Kefir-Drink (cremig-fruchtig versch. Sorten 500g Packung),Lebensmittel,Getränke/Milchprodukte,0.99,2025-06-16,2025-06-21,Edeka
Bresso Frischkäsezubereitung (versch. Sorten 120/150g Packung/Becher),Lebensmittel,Käse,1.29,2025-06-16,2025-06-21,Edeka
All in Fruits Smoothie (100% Frucht versch. Sorten 250ml Flasche),Getränke,Saft,1.49,2025-06-16,2025-06-21,Edeka
Abraham Serrano luftgetrocknet (XXL 200g Packung),Lebensmittel,Wurst/Schinken,3.33,2025-06-16,2025-06-21,Edeka
Reinert Bärchen-Streich (versch. Sorten 125g Becher),Lebensmittel,Wurst,1.49,2025-06-16,2025-06-21,Edeka
Pahmeyer Reibekuchen oder Gemüsetaler (240/300g Packung),Lebensmittel,Fertiggerichte,1.79,2025-06-16,2025-06-21,Edeka
Glück Fruchtaufstrich (versch. Sorten 230g Glas),Lebensmittel,Brotaufstrich,2.49,2025-06-16,2025-06-21,Edeka
Dr. Oetker Süße Mahlzeit (versch. Sorten Beutel),Lebensmittel,Backmischungen/Desserts,0.99,2025-06-16,2025-06-21,Edeka
Kölln Müsli oder Vollkorn-Haferfleks (versch. Sorten 375/400/500/600g Packung),Lebensmittel,Cerealien,1.99,2025-06-16,2025-06-21,Edeka
Kühne Gurken (versch. Sorten 670g Glas),Lebensmittel,Konserven,1.59,2025-06-16,2025-06-21,Edeka
Vitavate Loops (versch. Sorten 330g Packung),Lebensmittel,Cerealien,2.99,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Grüne Pfefferonen (versch. Sorten 250g Beutel),Lebensmittel,Konserven,0.99,2025-06-16,2025-06-21,Edeka
Ben's Original Reis (im Kochbeutel versch. Sorten 500g Packung),Lebensmittel,Reis,1.79,2025-06-16,2025-06-21,Edeka
Ben's Original Saucen (versch. Sorten 395/400g Glas),Lebensmittel,Saucen/Fertiggerichte,1.49,2025-06-16,2025-06-21,Edeka
Delverde Tomaten (stückig versch. Sorten 400g Dose),Lebensmittel,Konserven,1.29,2025-06-16,2025-06-21,Edeka
Nordzucker Sweet Family Gelierzucker 2:1 (500g Packung),Lebensmittel,Backzutaten,0.59,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Fix-Produkte (versch. Sorten Beutel),Lebensmittel,Kochzutaten,0.35,2025-06-16,2025-06-21,Edeka
Deutschland Erdbeeren (Kl. I 400g Schale),Lebensmittel,Obst,2.69,2025-06-16,2025-06-21,Edeka
Heinz Tomato Ketchup oder Mayonnaise (versch. Sorten 400ml Flasche),Lebensmittel,Saucen/Dips,1.99,2025-06-16,2025-06-21,Edeka
Alnatura Gelierzucker 2:1 (aus Rohrohrzucker 500g Packung),Lebensmittel,Backzutaten,2.22,2025-06-16,2025-06-21,Edeka
Knorr Salatkrönung (versch. Sorten 5er Packung),Lebensmittel,Kochzutaten,0.79,2025-06-16,2025-06-21,Edeka
Deutschland EDEKA Heimatliebe Kulturheidelbeeren (Kl. I 125g Schale),Lebensmittel,Obst,1.69,2025-06-16,2025-06-21,Edeka
So You So Me Saucen (versch. Sorten 300ml Flasche),Lebensmittel,Saucen/Dips,2.49,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Erdbeeren (tiefgefroren 750g Beutel),Lebensmittel,Tiefkühlkost/Obst,2.49,2025-06-16,2025-06-21,Edeka
Kühne Balsamico-Essig (versch. Sorten 0.5l Flasche),Lebensmittel,Essig/Öl,2.49,2025-06-16,2025-06-21,Edeka
Dr. Oetker Einmachhilfe (3er Packung),Lebensmittel,Backzutaten,0.79,2025-06-16,2025-06-21,Edeka
Storck Toffifee (15 Stück 125g Packung),Lebensmittel,Süßwaren,1.11,2025-06-16,2025-06-21,Edeka
Manner Waffeln (versch. Sorten 300/400g Beutel),Lebensmittel,Süßwaren/Gebäck,2.49,2025-06-16,2025-06-21,Edeka
Lorenz Crunchips Stackers (versch. Sorten 175g Dose),Lebensmittel,Snacks,1.99,2025-06-16,2025-06-21,Edeka
J.J. Darboven Café Intención ecológico (Bio-Röstkaffee 500g Packung),Lebensmittel,Kaffee/Tee,7.99,2025-06-16,2025-06-21,Edeka
Eduscho Lieblingsbohnen (ganze Bohnen versch. Sorten 750g Beutel),Lebensmittel,Kaffee/Tee,9.99,2025-06-16,2025-06-21,Edeka
Nestlé Choclait Chips oder Choco Crossies (versch. Sorten 115/150g Packung),Lebensmittel,Süßwaren,1.99,2025-06-16,2025-06-21,Edeka
Jacobs Instant-Becherportionen (versch. Sorten 180g Packung),Lebensmittel,Kaffee/Tee,1.89,2025-06-16,2025-06-21,Edeka
Krüger Family Latte Macchiato oder Cappuccino (versch. Sorten 500g Beutel),Lebensmittel,Kaffee/Tee,2.49,2025-06-16,2025-06-21,Edeka
Lavazza Qualita Rossa Caffè Crema Tierra oder Espresso Barista (ganze Bohne 1kg Beutel),Lebensmittel,Kaffee/Tee,15.99,2025-06-16,2025-06-21,Edeka
Harry / Lieken Urkorn Brot (in Scheiben versch. Sorten 500g Packung),Lebensmittel,Backwaren,0.99,2025-06-16,2025-06-21,Edeka
7 Days Croissants oder Mini-Croissants (gefüllt versch. Sorten 185/240g Packung),Lebensmittel,Backwaren,1.69,2025-06-16,2025-06-21,Edeka
Lavazza Kaffeepads oder -kapseln (versch. Sorten 125g/55g/57g Packung),Lebensmittel,Kaffee/Tee,2.22,2025-06-16,2025-06-21,Edeka
Tyrrell's handfrittierte Chips (versch. Sorten 150g Beutel),Lebensmittel,Snacks,1.99,2025-06-16,2025-06-21,Edeka
Dallmayr Kaffeepads (versch. Sorten 112/124g Beutel),Lebensmittel,Kaffee/Tee,1.99,2025-06-16,2025-06-21,Edeka
Wasa Knäckebrot-Spezialitäten (versch. Sorten 200/260g Packung),Lebensmittel,Backwaren,1.39,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Fruchtaufstrich (App-Preis versch. Sorten 230g Glas),Lebensmittel,Brotaufstrich,1.99,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Brotaufstrich (App-Preis versch. Sorten 400g Glas),Lebensmittel,Brotaufstrich,2.49,2025-06-16,2025-06-21,Edeka
EDEKA Herzstücke Pistaziencreme (App-Preis mit 30% Pistazien 200g Glas),Lebensmittel,Brotaufstrich,3.49,2025-06-16,2025-06-21,Edeka
Bussy-Mix Schleckdrinks (10 Ice Pops 400ml Packung),Lebensmittel,Tiefkühlkost/Eis,0.99,2025-06-16,2025-06-21,Edeka
Géramont (franz. Weichkäse versch. Sorten 130/150/200g Packung),Lebensmittel,Käse,2.89,2025-06-16,2025-06-21,Edeka
Frisia Ufonauten (versch. Sorten 70/78g Beutel),Lebensmittel,Süßwaren,1.49,2025-06-16,2025-06-21,Edeka
Wagner Creazione (Pizza versch. Sorten 430/435g Packung),Lebensmittel,Tiefkühlkost/Pizza,4.49,2025-06-16,2025-06-21,Edeka
Tempo Feuchtes Toilettenpapier (Nachfüllpackung versch. Varianten 42er Packung),Drogerie,Hygieneartikel,1.29,2025-06-16,2025-06-21,Edeka
EDEKA Bio Frische Eier (10er Packung),Lebensmittel,Eier,4.49,2025-06-16,2025-06-21,Edeka
Spaten Münchner hell (20x0.5l Flasche),Getränke,Alkoholische Getränke,16.99,2025-06-16,2025-06-21,Edeka
Bürger Maultaschen (versch. Sorten 250/360g Beutel),Lebensmittel,Fertiggerichte,1.99,2025-06-16,2025-06-21,Edeka
Colgate Komplett Zahncreme (versch. Varianten 75ml Tube),Drogerie,Zahnpflege,0.99,2025-06-16,2025-06-21,Edeka
EDEKA elkos Rasierschaum (fresh oder sensitiv 300ml Dose),Drogerie,Körperpflege,0.89,2025-06-16,2025-06-21,Edeka
Nestlé PURINA Gourmet-Gold oder -Perle (Katzenfutter versch. Sorten 85g Dose/Beutel),Tierbedarf,Katzenfutter,0.49,2025-06-16,2025-06-21,Edeka
Nivea Deo Roll-on (versch. Varianten 50ml Flasche),Drogerie,Körperpflege,2.99,2025-06-16,2025-06-21,Edeka
Albi Fruchtsäfte und Nektare (versch. Sorten 0.75l DPG-Flasche),Getränke,Saft,1.29,2025-06-16,2025-06-21,Edeka
Itarol Aperitivo (auch alkoholfrei 0.7l Flasche),Getränke,Alkoholische Getränke,2.99,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG CO2-Zylinder-Füllung (425g Flasche),Haushalt,Sonstiges,4.44,2025-06-16,2025-06-21,Edeka
Frankreich Le Flamand Weine (versch. Sorten 1l Flasche),Getränke,Alkoholische Getränke,2.22,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Instant-Teegetränk (versch. Sorten 400g Dose),Getränke,Tee,1.49,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Cola Orangen- oder Zitronenlimonade (versch. Sorten 1.5l PET-DPG-Flasche),Getränke,Softdrinks,0.49,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Kühlbox (26l),Non-Food,Freizeit/Haushalt,11.11,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Blutorangen-Direktsaft (1l DPG-Flasche),Getränke,Saft,1.99,2025-06-16,2025-06-21,Edeka
Black Cat Energy-Drink (versch. Sorten 0.5l DPG-Dose),Getränke,Energy Drinks,0.39,2025-06-16,2025-06-21,Edeka
Italien Giolano Prosecco (Vino Frizzante 0.75l Flasche),Getränke,Sekt/Prosecco,3.99,2025-06-16,2025-06-21,Edeka
Pfanner Ice Tea (versch. Sorten 2l Packung),Getränke,Eistee,1.29,2025-06-16,2025-06-21,Edeka
Amecke Sanfte oder Plus-Säfte (versch. Sorten 1l Packung),Getränke,Saft,2.19,2025-06-16,2025-06-21,Edeka
Vescovino Limoncello Spritz (0.75l Flasche),Getränke,Alkoholische Getränke,1.79,2025-06-16,2025-06-21,Edeka
Hasseröder (Bier versch. Sorten 24x0.33l/20x0.5l Flasche),Getränke,Alkoholische Getränke,7.99,2025-06-16,2025-06-21,Edeka
König Pilsener (Bier versch. Sorten 24x0.33l/20x0.5l Flasche),Getränke,Alkoholische Getränke,10.99,2025-06-16,2025-06-21,Edeka
Coca-Cola Fanta oder Sprite (teilw. koffeinhaltig 12x1l PET-Flasche),Getränke,Softdrinks,9.99,2025-06-16,2025-06-21,Edeka
Veltins Helles Pülleken (Bier 6x0.33l Flasche),Getränke,Alkoholische Getränke,3.79,2025-06-16,2025-06-21,Edeka
Warsteiner (Bier versch. Sorten 24x0.33l/20x0.5l Flasche),Getränke,Alkoholische Getränke,13.99,2025-06-16,2025-06-21,Edeka
Hella Mineralwasser mit Fruchtgeschmack (versch. Sorten 0.75l PET-DPG-Flasche),Getränke,Wasser,0.59,2025-06-16,2025-06-21,Edeka
Volvic Touch oder Tee (versch. Sorten 1.5l PET-DPG-Flasche),Getränke,Wasser,1.19,2025-06-16,2025-06-21,Edeka
Holsten Pilsener (0.5l DPG-Dose),Getränke,Alkoholische Getränke,0.59,2025-06-16,2025-06-21,Edeka
Berliner Kindl Weisse (versch. Sorten 6x0.33l Flasche),Getränke,Alkoholische Getränke,3.99,2025-06-16,2025-06-21,Edeka
Gerolsteiner Mineralwasser (Classic Medium oder Naturell 12x1l PET-Flasche),Getränke,Wasser,6.99,2025-06-16,2025-06-21,Edeka
Vilsa Mineralwasser (versch. Sorten 6x0.75l PET-DPG-Flasche),Getränke,Wasser,2.49,2025-06-16,2025-06-21,Edeka
Veltins Helles Lager (Bier 24x0.275l Flasche),Getränke,Alkoholische Getränke,11.99,2025-06-16,2025-06-21,Edeka
Brita Maxtra Pro Pure Performance (Filterkartuschen 3 Stück Packung),Haushalt,Wasserfilter,12.99,2025-06-16,2025-06-21,Edeka
Henkel Weißer Riese oder Spee (Vollwaschmittel versch. Varianten 18/19/22 WA),Drogerie,Waschmittel,3.79,2025-06-16,2025-06-21,Edeka
Lenor Weichspüler (versch. Varianten 32/38 WA),Drogerie,Waschmittel,1.79,2025-06-16,2025-06-21,Edeka
St. Hubertus-Tropfen (Likör versch. Sorten 24x0.02l Flasche),Getränke,Spirituosen,5.99,2025-06-16,2025-06-21,Edeka
Italien Doppio Passo Weine (versch. Sorten 0.75l Flasche),Getränke,Alkoholische Getränke,4.44,2025-06-16,2025-06-21,Edeka
EDEKA Samtweich Toilettenpapier (5-lagig 6x130 Blatt Packung),Drogerie,Hygieneartikel,3.29,2025-06-16,2025-06-21,Edeka
Absolut Vodka (versch. Sorten 0.7l Flasche),Getränke,Spirituosen,10.99,2025-06-16,2025-06-21,Edeka
Southern Comfort (Liqueur mit Whiskey 35% Vol. 0.7l Flasche),Getränke,Spirituosen,9.99,2025-06-16,2025-06-21,Edeka
L'Oréal Paris Elvital Shampoo oder Spülung (versch. Varianten 250/300ml Flasche),Drogerie,Haarpflege,2.99,2025-06-16,2025-06-21,Edeka
Ouzo 12 (versch. Sorten 0.7l Flasche),Getränke,Spirituosen,9.99,2025-06-16,2025-06-21,Edeka
Pfalz Hauswein (alkoholfrei versch. Sorten 1l Flasche),Getränke,Alkoholfreie Getränke,2.49,2025-06-16,2025-06-21,Edeka
Vitakraft CHICKEN COINS (Hunde-Snacks 80g Beutel),Tierbedarf,Hundefutter,1.49,2025-06-16,2025-06-21,Edeka
Carefree Slipeinlagen (versch. Varianten Packung),Drogerie,Hygieneartikel,2.29,2025-06-16,2025-06-21,Edeka
Ballantine's Scotch Whisky (40% Vol. 0.7l Flasche),Getränke,Spirituosen,9.99,2025-06-16,2025-06-21,Edeka
Lillet Aperitif de France (versch. Sorten 3x0.2l Flasche),Getränke,Alkoholische Getränke,6.99,2025-06-16,2025-06-21,Edeka
Bauerngut Grillbauchscheiben (vom Schwein mariniert 1kg),Lebensmittel,Fleisch,5.55,2025-06-19,2025-06-21,Edeka
Tortenbrie (franz. Weichkäse 50% Fett i. Tr. 100g),Lebensmittel,Käse,0.89,2025-06-19,2025-06-21,Edeka
Sprehe Hähnchen-Innenfilet (mariniert versch. Sorten 400g Packung),Lebensmittel,Tiefkühlkost/Geflügel,2.77,2025-06-19,2025-06-21,Edeka
Bauerngut Premium-Kochschinken (100g),Lebensmittel,Wurst/Schinken,1.99,2025-06-19,2025-06-21,Edeka
GUT&GÜNSTIG Mini-Donuts (versch. Sorten 160/176g Packung),Lebensmittel,Backwaren,1.69,2025-06-19,2025-06-21,Edeka
Portugal Driscoll's Brombeeren (Kl. I 125g Packung),Lebensmittel,Obst,1.49,2025-06-19,2025-06-21,Edeka
Lorenz Nic Nac's XL Fun-Pack (Double-Crunch-Peanuts versch. Sorten 170g Beutel),Lebensmittel,Snacks,1.59,2025-06-19,2025-06-21,Edeka
Henglein Frischer Pizzateig XXL (550g Packung),Lebensmittel,Teigwaren,1.29,2025-06-19,2025-06-21,Edeka
Popp Brotaufstrich (streichfähiger Salat versch. Sorten 3x40g/150g Becher),Lebensmittel,Feinkost/Salate,1.00,2025-06-19,2025-06-21,Edeka
Fit Geschirrspülmittel (versch. Varianten 500ml Flasche Einzelpreis),Drogerie,Reinigungsmittel,1.19,2025-06-19,2025-06-21,Edeka
Fit Geschirrspülmittel (3 Flaschen Angebot 3x500ml),Drogerie,Reinigungsmittel,3.00,2025-06-19,2025-06-21,Edeka
Captain Morgan (Spiced Gold oder Alcohol Free 0.7l Flasche),Getränke,Spirituosen,8.88,2025-06-19,2025-06-21,Edeka
Mönchshof Bayerische Bierspezialitäten (versch. Sorten 4x0.5l Bügelflasche),Getränke,Alkoholische Getränke,3.33,2025-06-19,2025-06-21,Edeka
Appel Heringsfilets (in versch. Cremes 200g Dose Einzelpreis),Lebensmittel,Fischkonserven,1.11,2025-06-19,2025-06-21,Edeka
Appel Heringsfilets (5 Dosen Angebot 5x200g),Lebensmittel,Fischkonserven,5.00,2025-06-19,2025-06-21,Edeka
GUT&GÜNSTIG 12 Milchbrötchen (480g Beutel),Lebensmittel,Backwaren,1.89,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Gute-Laune-Brötchen (zum Aufbacken versch. Sorten 360g Beutel),Lebensmittel,Backwaren,0.99,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Mayonnaise oder Remoulade (80% Rapsöl 500ml Flasche),Lebensmittel,Saucen/Dips,1.59,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG 15 Fischstäbchen (aus Alaska-Seelachsfilet 450g Packung),Lebensmittel,Tiefkühlkost/Fisch,2.49,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Frischer Weißkrautsalat (400g Becher),Lebensmittel,Feinkost/Salate,1.29,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Hirtenkäse (in Salzlake gereift versch. Fettstufen 250g Packung),Lebensmittel,Käse,1.89,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Pfirsiche (halbe Frucht gezuckert 820g Dose),Lebensmittel,Konserven,1.99,2025-06-16,2025-06-21,Edeka
GUT&GÜNSTIG Original bayerischer Leberkäse (fein 400g Packung),Lebensmittel,Wurst,3.39,2025-06-16,2025-06-21,Edeka
EDEKA Bio Dinkelmehl (Type 630 1kg Packung),Lebensmittel,Backzutaten,1.25,2025-06-16,2025-06-21,Edeka
Müller Müllermilch/Shake (400ml. versch. Sorten. Lidl Plus),Lebensmittel,Milchprodukte/Getränke,0.69,2025-05-05,2025-05-10,Lidl
SILVERCREST Ultraschall-Aroma-Diffusor (auch online),Non-Food,Haushaltsgeräte,7.77,2025-06-16,2025-06-21,Lidl
Monster Energy Drink (0.5l Taurin- und koffeinhaltig),Lebensmittel,Getränke,0.77,2025-06-16,2025-06-21,Lidl
Senseo Pads XXL (333g 48 Pads),Lebensmittel,Kaffee,5.29,2025-06-16,2025-06-21,Lidl
Ehrmann Almighurt (150g),Lebensmittel,Milchprodukte/Joghurt,0.33,2025-06-16,2025-06-21,Lidl
Fol Epi Schnittkäse (235g),Lebensmittel,Milchprodukte/Käse,2.99,2025-06-16,2025-06-21,Lidl
Dulano Selection Schwarzwälder Schinken g.g.A. (200g),Lebensmittel,Fleisch/Wurstwaren,2.49,2025-06-16,2025-06-21,Lidl
Dattelcherry-tomaten XXL (1kg),Lebensmittel,Gemüse,2.22,2025-06-16,2025-06-21,Lidl
Salat-Mix (125g),Lebensmittel,Gemüse/Salat,0.99,2025-06-16,2025-06-21,Lidl
Birnen lose (kg-Preis),Lebensmittel,Obst,2.49,2025-06-16,2025-06-21,Lidl
Kiwi Gold lose (Je Stück),Lebensmittel,Obst,0.69,2025-06-16,2025-06-21,Lidl
Rote Mini Paprika kernlos (250g),Lebensmittel,Gemüse,1.49,2025-06-16,2025-06-21,Lidl
Avocado (Je Stück),Lebensmittel,Obst,0.99,2025-06-16,2025-06-21,Lidl
Auberginen lose (kg-Preis),Lebensmittel,Gemüse,1.59,2025-06-16,2025-06-21,Lidl
Cherrystrauch-tomaten lose (100-g-Preis Lidl Plus),Lebensmittel,Gemüse,0.79,2025-06-16,2025-06-21,Lidl
Winterharte Palme (ca. 80-110 cm Höhe),Garten/Pflanzen,Pflanzen,14.99,2025-06-16,2025-06-21,Lidl
Winterharte Palme (ca. 80-110 cm Höhe Lidl Plus),Garten/Pflanzen,Pflanzen,12.99,2025-06-16,2025-06-21,Lidl
Lilien orientalisch (Höhe ca. 55 cm),Garten/Pflanzen,Pflanzen,6.99,2025-06-18,2025-06-21,Lidl
Bloom your room-Grünpflanzen (Versch. Sorten Höhe ca. 30-40 cm),Garten/Pflanzen,Pflanzen,3.99,2025-06-18,2025-06-21,Lidl
Lavendel angustifolia (Höhe ca. 40-48 cm),Garten/Pflanzen,Pflanzen,2.99,2025-06-18,2025-06-21,Lidl
Grillmeister Rindersteak (z.B. 300g),Lebensmittel,Fleisch/Rind,3.90,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frisches Schweinegulasch (500g),Lebensmittel,Fleisch/Schwein,2.99,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frische Puten-Ministeaks XXL (800g),Lebensmittel,Fleisch/Geflügel,6.99,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Chicken Nuggets mit Dips XXL (1.3kg),Lebensmittel,Fleisch/Fertiggerichte,7.79,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frisches Rinder-Cevapcici XXL (800g),Lebensmittel,Fleisch/Rind,7.99,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frische Hähncheninnenfilets (400g),Lebensmittel,Fleisch/Geflügel,3.99,2025-06-16,2025-06-21,Lidl
Fischerstolz Kabeljau Rückenfilets (250g),Lebensmittel,Fisch,4.29,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frisches Schweine-Hackfleisch XXL (1kg),Lebensmittel,Fleisch/Schwein,4.49,2025-06-16,2025-06-21,Lidl
Grillmeister Bockwurst (20er-Pack 1.8kg),Lebensmittel,Fleisch/Wurstwaren,11.11,2025-06-16,2025-06-21,Lidl
Grillmeister Hähnchen-Minutenschnitzel XXL (1.5kg versch. Sorten mariniert),Lebensmittel,Fleisch/Geflügel,13.19,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Rinderfilet (z.B. 900g am Stück),Lebensmittel,Fleisch/Rind,24.30,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frische Hähnchen-Schenkel (1.1kg mit Rückenstück),Lebensmittel,Fleisch/Geflügel,3.89,2025-06-16,2025-06-21,Lidl
Norwegische Lachsseite mit Haut (Ca. 1kg kg-Preis),Lebensmittel,Fisch,14.99,2025-06-16,2025-06-21,Lidl
Metzgerfrisch Frische Hähnchenflügel XXL (1.1kg Lidl Plus),Lebensmittel,Fleisch/Geflügel,4.59,2025-06-16,2025-06-21,Lidl
Grillmeister Schweine-Grillfackeln (420g gewürzt Lidl Plus),Lebensmittel,Fleisch/Schwein,3.69,2025-06-16,2025-06-21,Lidl
Käse-laugen-stange (3 Stück 2+1 gratis Lidl Plus),Lebensmittel,Backwaren,1.18,2025-06-16,2025-06-21,Lidl
Crodot Zuckerstreusel Tutti Frutti (Je Stück),Lebensmittel,Backwaren,0.99,2025-06-16,2025-06-21,Lidl
Nuss-Nougat-Croissant (3 Stück 2+1 gratis Lidl Plus),Lebensmittel,Backwaren,1.38,2025-06-16,2025-06-21,Lidl
Berliner mit Mehrfrucht-füllung (3 Stück 2+1 gratis),Lebensmittel,Backwaren,0.90,2025-06-16,2025-06-21,Lidl
Nutella Donut (120g),Lebensmittel,Backwaren,2.99,2025-06-16,2025-06-21,Lidl
Nautica Bio Räucherlachs (100g),Lebensmittel,Fisch,4.29,2025-06-16,2025-06-21,Lidl
Freshona Bio Gemüse (Tiefkühlung versch. Sorten 750g),Lebensmittel,Tiefkühlkost/Gemüse,2.69,2025-06-16,2025-06-21,Lidl
Nautica Bio Stremellachs (100g),Lebensmittel,Fisch,4.49,2025-06-16,2025-06-21,Lidl
Solevita Bio Ingwer Shot (versch. Sorten 150ml zzgl. -_25 Pfand),Getränke,Säfte/Shots,1.29,2025-06-16,2025-06-21,Lidl
Bioland Tofu (Vemondo versch. Sorten 2x200g/2x175g),Lebensmittel,Vegetarisch/Vegan,1.79,2025-06-16,2025-06-21,Lidl
Bioland Körniger Frischkäse (Milbona 200g),Lebensmittel,Milchprodukte/Käse,1.49,2025-06-16,2025-06-21,Lidl
Haribo (versch. Sorten 175g/160g),Lebensmittel,Süßwaren,0.77,2025-06-16,2025-06-21,Lidl
Ehrmann Almighurt (versch. Sorten 150g),Lebensmittel,Milchprodukte/Joghurt,0.33,2025-06-16,2025-06-21,Lidl
Monster Energy Drink (versch. Sorten 0.5l zzgl. -_25 Pfand),Getränke,Energy Drinks,0.77,2025-06-16,2025-06-21,Lidl
Pantene Pro-V Shampoo (versch. Sorten 1l),Drogerie,Haarpflege,7.99,2025-06-16,2025-06-21,Lidl
Ben & Jerry's Eis (Tiefkühlung versch. Sorten 465ml/400ml),Lebensmittel,Tiefkühlkost/Eis,4.44,2025-06-16,2025-06-21,Lidl
